Algoritmo,Posicao,Tempo_Planejamento,Tempo_Execucao
RRT,up,0.027,5.628
RRT,goal1,0.016,3.407
RRT,goal2,0.016,2.615
RRT,goal3,0.028,5.116
RRT,home,0.015,5.011
PRM,up,0.016,5.621
PRM,goal1,0.023,3.412
PRM,goal2,0.040,2.620
PRM,goal3,0.018,5.106
PRM,home,0.029,5.017
TRRT,up,0.014,5.625
TRRT,goal1,0.015,3.413
TRRT,goal2,0.015,2.621
TRRT,goal3,0.017,5.107
TRRT,home,0.020,5.010
RRTConnect,up,0.014,5.623
RRTConnect,goal1,0.029,3.417
RRTConnect,goal2,0.029,2.607
RRTConnect,goal3,0.018,5.109
RRTConnect,home,0.021,5.016
SPARS,up,5.018,5.627
SPARS,goal1,5.003,3.408
SPARS,goal2,5.001,2.603
SPARS,goal3,5.013,5.106
SPARS,home,5.018,5.021
